siruta,primar,id_partid_principal,nume_partid_principal,linkp
139884,ȚURCAȘ SEPTIMIU - CĂTĂLIN,15,PARTIDUL DEMOCRAT LIBERAL,
138921,ȘTEȚ VASILE ADRIAN,62,UNIUNEA SOCIAL LIBERALĂ,
139358,IUHASZ LUDOVIC,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
139054,AVORNICIȚI MARIANA NICOLETA,15,PARTIDUL DEMOCRAT LIBERAL,
139107,FÉZER GÁBOR,9,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,
139250,MELLAU IOSIF,9,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,
140208,POP GHEORGHE IOAN,62,UNIUNEA SOCIAL LIBERALĂ,
140440,SZABÓ LEVENTE - GYÖRGY,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
140477,FALUVÉGI FRANCISC - ȘTEFAN,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
140547,FARCAS LIVIU NICOLAE,15,PARTIDUL DEMOCRAT LIBERAL,
141946,ȘUMĂLAN DAN - IOAN,61,PARTIDUL SOCIAL DEMOCRAT,
140627,POP EMERIC,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
141081,MANGAU IOAN,62,UNIUNEA SOCIAL LIBERALĂ,
141312,PUȘCAȘ GAVRIL,61,PARTIDUL SOCIAL DEMOCRAT,
180037,MARINA IDA MAGDOLNA,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
141535,SUR FLORIAN,57,PARTIDUL POPORULUI - DAN DIACONESCU,
141722,MÁRKUS LÁSZLÓ,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
142006,LAZAR VASILE,15,PARTIDUL DEMOCRAT LIBERAL,
142239,MATE RADU,999,CANDIDAT INDEPENDENT,
142284,BONCIDAI CSABA,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
142337,CRISTE NICOLAE,15,PARTIDUL DEMOCRAT LIBERAL,
142612,BONȚE FLORIAN,15,PARTIDUL DEMOCRAT LIBERAL,
142881,DOMBI ATTILA JÁNOS,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
142952,ROȘAN IOAN,15,PARTIDUL DEMOCRAT LIBERAL,
179882,LÖCHLI MIHAI,9,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,
136553,MOSDÓCZI VILHELM,36,PARTIDUL CIVIC MAGHIAR - MAGYAR POLGÁRI PÁRT,
138501,MARCHIS GHEORGHE OTTO,9,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,
28763,SFERLE MIHAI - FLORIN,62,UNIUNEA SOCIAL LIBERALĂ,
27436,NAGY GIZELA,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
28139,VID GHEORGHE - IOAN,61,PARTIDUL SOCIAL DEMOCRAT,
32201,MAIER PAVEL,31,PARTIDUL NAȚIONAL LIBERAL,
138574,VARGA COSMIN - VASILE,15,PARTIDUL DEMOCRAT LIBERAL,
26804,DOMOCOȘ ADRIAN NICOLAE,31,PARTIDUL NAȚIONAL LIBERAL,http://www.pna.ro/comunicat.xhtml?id=4271 </br> http://www.pna.ro/comunicat.xhtml?id=4276 </br>
26877,POCSALY ZOLTAN - LADISLAU,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
30871,POPA AUREL,15,PARTIDUL DEMOCRAT LIBERAL,
30416,MAȘCAȘ IOAN,61,PARTIDUL SOCIAL DEMOCRAT,
27383,MUGHIURUȘ IOAN,62,UNIUNEA SOCIAL LIBERALĂ,
29092,MADOS ATTILA FERENCZ,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
179677,SÜTŐ IMRE,9,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,
30149,CRAINIC MIRCEA - MIHAI,62,UNIUNEA SOCIAL LIBERALĂ,
30229,BOCȘE FLORE,15,PARTIDUL DEMOCRAT LIBERAL,
30915,BÉRES CSABA,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
30988,HORVÁTH BÉLA,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
31011,NAGY MIKLÓS,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
9798,BONDOR AUREL,15,PARTIDUL DEMOCRAT LIBERAL,
31128,HERMAN GAVRIL,61,PARTIDUL SOCIAL DEMOCRAT,
31422,VAIDA IOAN,15,PARTIDUL DEMOCRAT LIBERAL,
44845,HOLBAN VIOREL,31,PARTIDUL NAȚIONAL LIBERAL,
48325,GHERGHICEANU ION,31,PARTIDUL NAȚIONAL LIBERAL,
48744,DUMITRAȘCU FLORIN,31,PARTIDUL NAȚIONAL LIBERAL,
50564,ZAHARIA ION,31,PARTIDUL NAȚIONAL LIBERAL,
49046,SNAE FLORIN,31,PARTIDUL NAȚIONAL LIBERAL,
47774,GHINEA FRUSINA,15,PARTIDUL DEMOCRAT LIBERAL,
49439,CHIRCU SANDU,15,PARTIDUL DEMOCRAT LIBERAL,
47159,NECULAI STĂNEL,15,PARTIDUL DEMOCRAT LIBERAL,
47300,FRĂȚILĂ MIRCEA,15,PARTIDUL DEMOCRAT LIBERAL,
45753,CURELEA NEDELCU NICOLAE,15,PARTIDUL DEMOCRAT LIBERAL,
46180,FĂTU ANDREI SERGIU,15,PARTIDUL DEMOCRAT LIBERAL,
48021,GRAMA TACHE CRISTACHE,15,PARTIDUL DEMOCRAT LIBERAL,
48165,ȘTEFAN NICUȘOR,15,PARTIDUL DEMOCRAT LIBERAL,
48487,ENACHE CORNEL,15,PARTIDUL DEMOCRAT LIBERAL,
44934,CALOTĂ GEORGIAN,15,PARTIDUL DEMOCRAT LIBERAL,
50399,SPIȚĂ DUMITRU,15,PARTIDUL DEMOCRAT LIBERAL,
66223,ALEXE MARIAN,15,PARTIDUL DEMOCRAT LIBERAL,
68324,CISMARU VIOREL,15,PARTIDUL DEMOCRAT LIBERAL,
67121,TOMA MATEI,15,PARTIDUL DEMOCRAT LIBERAL,
66768,ALEXANDRU MARIAN NICOLAE,15,PARTIDUL DEMOCRAT LIBERAL,
67292,NICA GHEORGHE,15,PARTIDUL DEMOCRAT LIBERAL,
66955,RĂDULESCU FLOAREA,15,PARTIDUL DEMOCRAT LIBERAL,
67256,GHEBOIANU MATEI,15,PARTIDUL DEMOCRAT LIBERAL,
66009,PREDA ION,15,PARTIDUL DEMOCRAT LIBERAL,
67835,DINCA LAURENTIU MIHAIL,15,PARTIDUL DEMOCRAT LIBERAL,
67942,PROCOPIE TOMA,15,PARTIDUL DEMOCRAT LIBERAL,
68716,BREBEANU GHEORGHE,15,PARTIDUL DEMOCRAT LIBERAL,
65869,BREAZU VASILE,15,PARTIDUL DEMOCRAT LIBERAL,
101840,PĂUN I. MARIN,15,PARTIDUL DEMOCRAT LIBERAL,
134942,CONSTANTIN ALEXANDRU SORIN,62,UNIUNEA SOCIAL LIBERALĂ,
179926,BUIBAR IULIAN,15,PARTIDUL DEMOCRAT LIBERAL,
68342,ALECU NICULAE,15,PARTIDUL DEMOCRAT LIBERAL,
101341,TUDORACHE NICOLAE,15,PARTIDUL DEMOCRAT LIBERAL,
68431,ȘERBAN M. MARIAN,15,PARTIDUL DEMOCRAT LIBERAL,
69964,VASILE CONSTANTIN,61,PARTIDUL SOCIAL DEMOCRAT,
130320,DINCĂ ION,61,PARTIDUL SOCIAL DEMOCRAT,
16659,ANDREI PETRE,62,UNIUNEA SOCIAL LIBERALĂ,
174254,STANCIU GHEORGHE,31,PARTIDUL NAȚIONAL LIBERAL,
66438,PAVEL ION,61,PARTIDUL SOCIAL DEMOCRAT,
169119,NICOLAE ION,62,UNIUNEA SOCIAL LIBERALĂ,
128882,PREDA IULIAN,62,UNIUNEA SOCIAL LIBERALĂ,
74359,POPA CONSTANTIN,62,UNIUNEA SOCIAL LIBERALĂ,
42913,VASILE GEORGEL,15,PARTIDUL DEMOCRAT LIBERAL,
135725,STANCIU GHEORGHE,62,UNIUNEA SOCIAL LIBERALĂ,
151683,MOHANU NICOLAE,62,UNIUNEA SOCIAL LIBERALĂ,
73246,POPA GHEORGHE,15,PARTIDUL DEMOCRAT LIBERAL,
114060,MARIN ION,62,UNIUNEA SOCIAL LIBERALĂ,
18028,DUMITRACHE ION,15,PARTIDUL DEMOCRAT LIBERAL,
15448,IONESCU ION,62,UNIUNEA SOCIAL LIBERALĂ,
135789,ILIE GHEORGHE,62,UNIUNEA SOCIAL LIBERALĂ,
133615,CĂLIN ION,47,PARTIDUL ECOLOGIST ROMÂN,
121732,ILIUȚĂ VASILE,5,PARTIDUL ROMÂNIA MARE,
117827,NICOARĂ IOAN,62,UNIUNEA SOCIAL LIBERALĂ,
18778,POPA ION,62,UNIUNEA SOCIAL LIBERALĂ,
77561,PORUMB IOAN,62,UNIUNEA SOCIAL LIBERALĂ,
70566,RĂCĂREANU ION,61,PARTIDUL SOCIAL DEMOCRAT,
178965,RUSU VASILE,62,UNIUNEA SOCIAL LIBERALĂ,
41925,RUSU ION,31,PARTIDUL NAȚIONAL LIBERAL,
45959,RADU GHEORGHE,31,PARTIDUL NAȚIONAL LIBERAL,
93628,PAVEL MARIAN,62,UNIUNEA SOCIAL LIBERALĂ,
